name,team,pos,rank
Jordan Walsh,BOS,"SF,PF",527
Isaiah Jackson,LAC,C,528
Trey Lyles,MIN,PF,529
Bogdan Bogdanovic,HOU,"PG,SG,SF",530
Adama Sanogo,CHI,C,531
Jamal Cain,ORL,"SG,SF",532
Kevin Love,UTA,"PF,C",533
Cody Zeller,HOU,C,534
Jonathan Isaac,ORL,"PF,C",535
Pacome Dadiet,NY,"SG,SF",536
Zeke Nnaji,DEN,"PF,C",537
Corey Kispert,ATL,"SG,SF",538
Chris Boucher,UTA,"PF,C",539
Nick Richards,MIA,C,540
Tyler Smith,DAL,PF,541
Dwight Powell,DAL,C,542
Aaron Holiday,HOU,PG,543
PJ Dozier,MIN,SG,544
Devonte' Graham,POR,"PG,SG",545
Johnny Juzang,MIN,"SG,SF",546
Ariel Hukporti,PHI,C,547
Garrett Temple,TOR,"PG,SG",548
A.J. Lawson,TOR,"SG,SF",549
Matt Ryan,NY,SF,550
Paul Reed,DET,"PF,C",551
Quentin Grimes,LAL,"SG,SF",552
Maxwell Lewis,BKN,"SG,SF",553
Seth Curry,GS,"PG,SG",554
Dillon Brooks,PHO,"SF,PF",555
PJ Hall,CHA,C,556
Nicolas Batum,LAC,"SF,PF",557
Alex Len,LAL,C,558
Dillon Jones,NY,SF,559
Caris LeVert,MIL,"SG,SF",560
Khris Middleton,WAS,"SF,PF",561
David Jones,SA,SG,562
Buddy Boeheim,OKC,SF,563
Cameron Payne,PHI,"PG,SG",564
Jabari Walker,PHI,PF,565
Marcus Sasser,DAL,PG,566
Vlatko Cancar,DEN,"PF,C",567
Taurean Prince,DET,"SF,PF",568
Dru Smith,MIA,"PG,SG",569
Jeremiah Robinson-Earl,IND,PF,570
Gary Harris,DET,"SG,SF",571
Cody Martin,IND,"SG,SF",572
Sandro Mamukelashvili,LAL,"PF,C",573
Kai Jones,DAL,C,574
Trey Jemison,TOR,"PF,C",575
Dean Wade,PHI,"SF,PF",576
Georges Niang,GS,PF,577
Zach Collins,CHI,C,578
Monte Morris,IND,"PG,SG",579
EJ Liddell,BKN,"PF,C",580
Blake Wesley,POR,"PG,SG",581
Duop Reath,ATL,"PF,C",582
Joe Ingles,MIN,"SF,PF",583
JD Davison,HOU,"PG,SG",584
Leonard Miller,CHI,"SF,PF",585
Chuma Okeke,CLE,PF,586
Bronny James,LAL,"PG,SG",587
Jeff Green,HOU,"PF,C",588
Jay Huff,IND,C,589
Dalano Banton,BOS,"PG,SG",590
Sam Merrill,CLE,"SG,SF",591
Jaden Hardy,LAL,"PG,SG,SF",592
Juan Nunez,SA,PG,593
Kevin Huerter,DET,"SG,SF",594
Ryan Rollins,MIL,"PG,SG",595
Dominick Barlow,PHI,"PF,C",596
Reggie Jackson,PHI,"PG,SG",597
Amir Coffey,PHO,"SG,SF",598
Caleb Martin,DAL,"SF,PF",599
Derrick Rose,MEM,PG,600
Cory Joseph,ORL,PG,601
Taj Gibson,MEM,C,602
P.J. Tucker,NY,PF,603
Alex Caruso,OKC,"SG,SF",604
Andre Drummond,NY,C,605
Dario Saric,DET,"PF,C",606
Bryce McGowens,NO,"SG,SF",607
AJ Griffin,HOU,"SF,PF",608
Torrey Craig,BOS,"SF,PF",609
Garrison Mathews,ATL,"SG,SF",610
Draymond Green,GS,"PF,C",611
KJ Simpson,DEN,"PG,SG",612
Nick Smith Jr.,LAL,"PG,SG",613
Luka Garza,BOS,C,614
DeAndre Jordan,NO,C,615
Saddiq Bey,NO,"SF,PF",616
Precious Achiuwa,SAC,"PF,C",617
Jordan Clarkson,NY,"SG,SF",618
Josh Richardson,MIA,"PG,SG",619
