name,team,pos,scorer_id
Ke'Bryan Hayes,PIT/CIN,3B,03pji
Tyler Freeman,CLE/COL,"2B,SS,OF",04efc
Brandon Marsh,PHI,OF,041q8
Luis Rengifo,LAA,"2B,3B,OF",03avk
Bailey Falter,PIT/KC,SP,03ql8
Jake Mangum,TB,OF,05135
Ty France,MIN/TOR,1B,03whq
Nolan Arenado,STL,3B,01sy3
Daylen Lile,WSH,OF,05t2b
Chase Meidroth,CHW,"2B,SS",0648n
Shawn Armstrong,TEX,RP,02c47
Carlos Santana,CLE/CHC,1B,01cfr
Cam Smith,HOU,OF,060jo
Andrew Vaughn,CHW/MIL,"1B,3B",04si2
Jose Ferrer,WSH,RP,062ob
Cade Povich,BAL,SP,05xop
Walker Buehler,BOS/PHI,SP,03aac
Mark Vientos,NYM,3B,03zcy
Taijuan Walker,PHI,SP,025dq
Brad Keller,CHC,RP,0312l
Hunter Gaddis,CLE,RP,05143
Josh Lowe,TB,OF,041ah
Alex Vesia,LAD,RP,04q05
Austin Riley,ATL,3B,03pom
Griffin Jax,MIN/TB,"SP,RP",0317q
Carlos Narvaez,BOS,C,048tn
Jason Adam,SD,RP,025it
Tommy Pham,PIT,OF,025fx
Brendon Little,TOR,RP,04afl
Bryan King,HOU,RP,06mi0
Luke Weaver,NYY,RP,02c5l
Willi Castro,MIN/CHC,"1B,2B,3B,SS,OF",03btu
Kyle Leahy,STL,"SP,RP",04q08
Gabe Speier,SEA,RP,031fj
Angel Martinez,CLE,"2B,SS,OF",04ydd
Phil Maton,STL/TEX,RP,03qwa
Javier Baez,DET,"2B,3B,SS,OF",026mn
Kyle Finnegan,WSH/DET,RP,031bl
Bryan Baker,BAL/TB,RP,041w4
Matt Wallner,MIN,OF,04o78
Adam Frazier,PIT/KC,"2B,OF",0316t
Kody Clemens,PHI/MIN,"1B,2B,OF",04ppi
Tyler Rogers,SF/NYM,RP,0374m
Camilo Doval,SF/NYY,RP,04k0w
Brandon Woodruff,MIL,SP,02bu3
Jared Koenig,MIL,RP,05ylp
Noelvi Marte,CIN,"3B,OF",04qnd
Wenceel Perez,DET,"SS,OF",04an8
Tyler Mahle,TEX,SP,0312g
Royce Lewis,MIN,"1B,2B,3B",04aeb
Romy Gonzalez,BOS,"1B,2B,3B,SS",04q0o
Andrew Heaney,PIT/LAD,SP,02mv0
Daniel Palencia,CHC,RP,05u4l
Emmet Sheehan,LAD,SP,05y2l
Aaron Nola,PHI,SP,02i3o
Isiah Kiner-Falefa,PIT/TOR,"2B,3B,SS,OF",031b3
Eduard Bazardo,SEA,RP,04mjn
Jordan Leasure,CHW,RP,0614c
Ryan Gusto,HOU/MIA,"SP,RP",0518s
Robert Garcia,TEX,RP,04enz
Garrett Cleavinger,TB,RP,03qju
Matt Strahm,PHI,RP,02nax
Carmen Mlodzinski,PIT,"SP,RP",05a29
Tanner Scott,LAD,RP,03dfa
Michael Conforto,LAD,OF,02z0t
Louis Varland,MIN/TOR,RP,051bm
Dylan Lee,ATL,RP,041vm
Mike Vasil,TB/CHW,RP,04ok0
Jake Meyers,HOU,OF,04emt
Sean Newcomb,BOS/ATH,"SP,RP",032lk
Ryan Walker,SF,RP,066n3
Luis Ortiz,CLE,SP,05xsq
Jordan Westburg,BAL,"2B,3B",05gsc
Mike Burrows,PIT,SP,04pvl
Giancarlo Stanton,NYY,"OF,UT",01cdf
Steven Okert,HOU,RP,02myt
Erick Fedde,STL/ATL/MIL,SP,03d6n
Tommy Edman,LAD,"2B,3B,OF",041sq
Jack Dreyer,LAD,"SP,RP",06luc
JoJo Romero,STL,RP,041rj
Emmanuel Clase,CLE,RP,04ug5
Aaron Civale,MIL/CHW/CHC,SP,041qr
Miguel Andujar,ATH/CIN,"3B,OF",02i3l
Bo Naylor,CLE,C,04mrn
Michael McGreevy,STL,SP,05sr2
Michael Soroka,WSH/CHC,"SP,RP",03pjf
Tyler Holton,DET,"SP,RP",04naz
Max Scherzer,TOR,SP,004ee
Alek Thomas,ARI,OF,04pmw
Victor Caratini,HOU,"C,1B",0311f
Liam Hicks,MIA,"C,1B",05ynb
Clarke Schmidt,NYY,SP,04ee7
Mike Tauchman,CHW,OF,0312v
J.T. Ginn,ATH,"SP,RP",04pkt
Daniel Schneemann,CLE,"2B,3B,SS,OF",06bs4
Gabriel Arias,CLE,"2B,3B,SS",0414h
Calvin Faucher,MIA,RP,04ekf
Orion Kerkering,PHI,RP,06491
Ryan Helsley,STL/NYM,RP,03ql5
Seranthony Dominguez,BAL/TOR,RP,04auk
Ben Casparius,LAD,RP,05y4k
Cam Schlittler,NYY,SP,05u6q
Reid Detmers,LAA,"SP,RP",0596g
Steven Matz,STL/BOS,RP,02h8d
Tyler Kinley,COL/ATL,RP,0313t
Pablo Lopez,MIN,SP,043f9
Colson Montgomery,CHW,"3B,SS",05rch
Daulton Varsho,TOR,OF,04efa
Greg Weissert,BOS,RP,0421q
Graham Ashcraft,CIN,RP,041x9
Aaron Ashby,MIL,RP,04ew7
Mauricio Dubon,HOU,"2B,3B,SS,OF",03aqw
Jake Burger,TEX,1B,04azv
Jimmy Herget,COL,RP,03qln
Lake Bachar,MIA,RP,041s4
Zebby Matthews,MIN,SP,066cf
Andrew Kittredge,BAL/CHC,RP,04ggi
Tyler Alexander,MIL/CHW,RP,0376h
Caleb Thielbar,CHC,RP,02hfr
Javier Sanoja,MIA,"2B,3B,SS,OF,RP",062ho
Joey Wentz,PIT/MIN/ATL,RP,041pr
Keegan Akin,BAL,RP,041py
Jared Triolo,PIT,"1B,2B,3B,SS",05128
Gabriel Moreno,ARI,C,04s1g
Lucas Erceg,KC,RP,041am
Randy Rodriguez,SF,RP,05w9g
Cole Ragans,KC,SP,041ma
Roman Anthony,BOS,OF,05u9z
Tanner Banks,PHI,RP,03dqv
Jonah Heim,TEX,C,031b2
John Schreiber,KC,RP,041z3
Blake Snell,LAD,SP,02bqr
Nolan Gorman,STL,"2B,3B",04ai4
Justin Wrobleski,LAD,"SP,RP",05y9r
Justin Sterner,ATH,RP,066n1
Jake Latz,TEX,"SP,RP",03div
Patrick Bailey,SF,C,04yuu
Andres Gimenez,TOR,"2B,SS",03pzn
Ramon Urias,BAL/HOU,"2B,3B",04de0
Michael King,SD,SP,041wv
JJ Bleday,ATH,OF,04y95
Ezequiel Tovar,COL,SS,04mra
Jacob Misiorowski,MIL,SP,061yu
Cal Quantrill,MIA/ATL/TEX,"SP,RP",03yxh
Jonathan Cannon,CHW,SP,05rb2
Starling Marte,NYM,OF,01s9k
Cole Sands,MIN,RP,03qxr
Brayan Rocchio,CLE,"2B,SS",04si3
Myles Straw,TOR,OF,03qqb
Colton Cowser,BAL,OF,05ras
Kyle Isbel,KC,OF,04ppo
German Marquez,COL,SP,03amq
Yariel Rodriguez,TOR,RP,06at1
Griffin Canning,NYM,SP,04eek
Edgar Quero,CHW,C,05un2
Scott Barlow,CIN,RP,02buh
Adley Rutschman,BAL,C,04q2n
Tyler Stephenson,CIN,C,03pix
Alex Call,WSH/LAD,OF,041qv
Keider Montero,DET,"SP,RP",05a1v
Dylan Crews,WSH,OF,0596e
Logan O'Hoppe,LAA,C,04q56
Shelby Miller,ARI/MIL,RP,01sbv
Reed Garrett,NYM,RP,03dpt
Heriberto Hernandez,MIA,OF,04up9
Ryan Zeferjahn,LAA,RP,04y9f
Corbin Burnes,ARI,SP,041rd
Colton Gordon,HOU,SP,05yfi
Kyle Higashioka,TEX,C,01usr
Tylor Megill,NYM,SP,04ywk
Nick Gonzales,PIT,"2B,3B,SS",0597k
Danny Jansen,TB/MIL,C,031el
Rowdy Tellez,SEA/TEX,1B,032gq
Connor Norby,MIA,"1B,2B,3B",05tce
Rhys Hoskins,MIL,1B,03de9
Fernando Cruz,NYY,RP,05ym7
Braxton Ashcraft,PIT,"SP,RP",04pmq
Casey Schmitt,SF,"1B,2B,3B,SS,OF",05jp4
Matt Brash,SEA,RP,05138
Sean Murphy,ATL,C,03aoy
Matt Svanson,STL,RP,06elo
Brandon Eisert,CHW,RP,051dw
Hoby Milner,TEX,RP,02n0v
Miguel Rojas,LAD,"2B,3B,SS",01t5w
Jason Alexander,ATH/HOU,SP,05xze
Tyler Phillips,PHI/MIA,RP,03qt6
Bennett Sousa,HOU,RP,04puc
Tanner Gordon,COL,SP,05152
Pierce Johnson,ATL,RP,02hdy
Yoan Moncada,LAA,3B,03eet
Emerson Hancock,SEA,"SP,RP",0510l
Gregory Soto,BAL/NYM,RP,04aok
Jakob Marsee,MIA,OF,065ji
Kyle Teel,CHW,C,05wxy
Brock Burke,LAA,RP,03dap
Jacob Webb,TEX,RP,04y76
Carlos Vargas,SEA,RP,04rhl
Pedro Pages,STL,C,0514k
Spencer Bivens,SF,RP,06kvo
Grant Anderson,MIL,RP,04q3y
Tommy Kahnle,DET,RP,02ccf
Brooks Baldwin,CHW,"1B,2B,3B,SS,OF",062z3
Reese Olson,DET,SP,04px8
Jacob Young,WSH,OF,05yaf
Taylor Walls,TB,"2B,SS",04bpj
Dane Myers,MIA,"1B,OF",04ehj
Nick Mears,MIL,RP,05a06
Jordan Walker,STL,OF,05gbf
Eli White,ATL,OF,041w3
Anthony Banda,LAD,RP,02n2v
Huascar Brazoban,NYM,RP,060ml
Felix Bautista,BAL,RP,05t64
Yu Darvish,SD,SP,01c5l
Wandy Peralta,SD,RP,047sh
Max Meyer,MIA,SP,05a2d
Dominic Canzone,SEA,OF,05161
Nolan Jones,COL/CLE,OF,041q6
Victor Vodnik,COL,RP,04pxp
Angel Zerpa,KC,RP,05qzx
Brant Hurter,DET,"SP,RP",05u6p
Juan Mejia,COL,RP,060o9
Ryan Bergert,SD/KC,SP,05xpo
Braydon Fisher,TOR,RP,04pqo
Anthony Bender,MIA,RP,0423e
Bryce Miller,SEA,SP,05vy6
Justin Wilson,BOS,RP,025ko
Nolan McLean,NYM,SP,05y7s
Caleb Ferguson,PIT/SEA,RP,043r7
Enyel De Los Santos,ATL/HOU,RP,03y4y
Drew Pomeranz,SEA/CHC,RP,01ucb
Hurston Waldrep,ATL,SP,0603p
Chase Dollander,COL,"SP,RP",05yj0
Hogan Harris,ATH,RP,04pps
Luke Keaschall,MIN,"2B,OF",05zh9
Tyrone Taylor,NYM,OF,02mx2
Zach Eflin,BAL,SP,02mwq
Mitch Spence,ATH,RP,0517z
Francisco Alvarez,NYM,C,04qnc
Edmundo Sosa,PHI,"2B,3B,SS",02zpf
Pavin Smith,ARI,"1B,OF",04alq
Matt Festa,TEX/CLE,RP,041tl
Jose Iglesias,SD,"2B,3B,SS",01s98
Brandon Walter,HOU,SP,05rk4
Jakob Junis,CLE,RP,02f9m
Ryan Mountcastle,BAL,1B,03pjl
Luis Urias,ATH/MIL,"2B,3B",03o43
Jalen Beeks,HOU/ARI,RP,03djb
Christopher Morel,TB,"2B,3B,OF",04pbp
Tim Hill,NYY,RP,04022
Logan Evans,SEA,SP,06hv8
Evan Carter,TEX,OF,05mdt
Mark Leiter Jr.,NYY,RP,0319c
Antonio Senzatela,COL,SP,02zoa
Jose Butto,NYM/SF,RP,05oz7
Ian Seymour,TB,"SP,RP",05jpd
Michael A. Taylor,CHW,OF,02h9j
Davis Schneider,TOR,"2B,3B,OF",04o2x
Yennier Cano,BAL,RP,050ok
Will Benson,CIN,OF,03zcx
