reason,player,fp_dynasty_rank,ktc_rank,best_rank
"on authority, unranked by all sources",Amar Johnson,,,
"on authority, unranked by all sources",Kye Robichaux,,,
"on authority, unranked by all sources",Sam Scott,,,
"on authority, unranked by all sources",Deion Hankins,,,
"on authority, unranked by all sources",Trent Battle,,,
"on authority, unranked by all sources",Brock Lampe,,,
"on authority, unranked by all sources",Deneric Prince,,,
"on authority, unranked by all sources",Salvon Ahmed,,,
"on authority, unranked by all sources",ShunDerrick Powell,,,
"on authority, unranked by all sources",Gary Brightwell,,,
"on authority, unranked by all sources",Jaden Nixon,,,
"on authority, unranked by all sources",Ian Wheeler,,,
"on authority, unranked by all sources",Keaontay Ingram,,,
"on authority, unranked by all sources",Trent Howland,,,
"on authority, unranked by all sources",Michael Wiley,,,
"on authority, unranked by all sources",Gregory Desrosiers,,,
"on authority, unranked by all sources",Roydell Williams,,,
"on authority, unranked by all sources",Ja'Quinden Jackson,,,
"on authority, unranked by all sources",Coleman Bennett,,,
"on authority, unranked by all sources",Chip Trayanum,,,
"on authority, unranked by all sources",Jordan Nubin,,,
"on authority, unranked by all sources",Owen Wright,,,
"on authority, unranked by all sources",Ulysses Bentley IV,,,
"on authority, unranked by all sources",Jordan Waters,,,
"on authority, unranked by all sources",Jordon Vaughn,,,
"on authority, unranked by all sources",Lew Nichols,,,
"on authority, unranked by all sources",Kentrel Bullock,,,
"on authority, unranked by all sources",Tre Stewart,,,
"on authority, unranked by all sources",Cody Schrader,,,
"on authority, unranked by all sources",TJ Harden,,,
"on authority, unranked by all sources",Chase Edmonds,,,
"on authority, unranked by all sources",Kevorian Barnes,,,
"on authority, unranked by all sources",Ben VanSumeren,,,
"on authority, unranked by all sources",Jamal Haynes,,,
"on authority, unranked by all sources",Montrell Johnson Jr.,,,
"on authority, unranked by all sources",Blake Watson,,,
"on authority, unranked by all sources",Davon Booth,,,
"on authority, unranked by all sources",Josh Williams,,,
"on authority, unranked by all sources",Jackson Acker,,,
"on authority, unranked by all sources",Grant Finley,,,
"on authority, unranked by all sources",Miles Davis,,,
"on authority, unranked by all sources",Jermar Jefferson,,,
"on authority, unranked by all sources",Max Bredeson,,,
"on authority, unranked by all sources",Joshua Pitsenberger,,,
"on authority, unranked by all sources",Dontae McMillan,,,
"on authority, unranked by all sources",Kejon Owens,,,
"on authority, unranked by all sources",Barika Kpeenu,,,
"on authority, unranked by all sources",Isaiah Jacobs,,,
"on authority, unranked by all sources",Lincoln Pare,,,
"on authority, unranked by all sources",Jashaun Corbin,,,
"on authority, unranked by all sources",Dante Miller,,,
"on authority, unranked by all sources",Rodney Hammond Jr.,,,
"on authority, unranked by all sources",Lan Larison,,,
"on authority, unranked by all sources",EJ Smith,,,
"on authority, unranked by all sources",Anderson Castle,,,
"on authority, unranked by all sources",Carlos Washington Jr.,,,
"on authority, unranked by all sources",Ahmani Marshall,,,
"on authority, unranked by all sources",Anthony Hankerson,,,
"on authority, unranked by all sources",Russell Wilson,,,
"on authority, unranked by all sources",Tim Jones,,,
"on authority, unranked by all sources",Ronnie Bell,,,
"on authority, unranked by all sources",Quintin Morris,,,
"on authority, unranked by all sources",Josiah Deguara,,,
"on authority, unranked by all sources",Trenton Irwin,,,
"on authority, unranked by all sources",Ihmir Smith-Marsette,,,
"on authority, unranked by all sources",Cody White,,,
"on authority, unranked by all sources",Tyrod Taylor,,,
"on authority, unranked by all sources",Brevyn Spann-Ford,,,
"on authority, unranked by all sources",Bryce Ford-Wheaton,,,
"on authority, unranked by all sources",Irv Charles,,,
"on authority, unranked by all sources",Jordan Mims,,,
"on authority, unranked by all sources",Pierre Strong Jr.,,,
"on authority, unranked by all sources",Jha'Quan Jackson,,,
"on authority, unranked by all sources",Jack Stoll,,,
"on authority, unranked by all sources",Drew Ogletree,,,
"on authority, unranked by all sources",JaMycal Hasty,,,
"on authority, unranked by all sources",Michael Burton,,,
"on authority, unranked by all sources",Charlie Woerner,,,
"on authority, unranked by all sources",Ameer Abdullah,,,
"on authority, unranked by all sources",Kenny McIntosh,,,
"on authority, unranked by all sources",Gunner Olszewski,,,
"on authority, unranked by all sources",Carson Steele,,,
"on authority, unranked by all sources",Payne Durham,,,
"on authority, unranked by all sources",Lucas Krull,,,
"on authority, unranked by all sources",Eric Saubert,,,
"on authority, unranked by all sources",Brycen Tremayne,,,
"on authority, unranked by all sources",Kyle Juszczyk,,,
"on authority, unranked by all sources",David Martin-Robinson,,,
"on authority, unranked by all sources",Tip Reiman,,,
"on authority, unranked by all sources",Eric Gray,,,
"on authority, unranked by all sources",Jonathan Ward,,,
"on authority, unranked by all sources",Ben Yurosek,,,
"on authority, unranked by all sources",Raheem Blackshear,,,
"on authority, unranked by all sources",Xavier Weaver,,,
"on authority, unranked by all sources",Kylen Granson,,,
"on authority, unranked by all sources",Tucker Fisk,,,
"on authority, unranked by all sources",Chris Collier,,,
"on authority, unranked by all sources",Harrison Bryant,,,
"on authority, unranked by all sources",Terrell Jennings,,,
"on authority, unranked by all sources",Dylan Drummond,,,
"on authority, unranked by all sources",Carter Runyon,,,
"on authority, unranked by all sources",Ryan Miller,,,
"on authority, unranked by all sources",Blake Whiteheart,,,
"on authority, unranked by all sources",Tylan Wallace,,,
"on authority, unranked by all sources",Austin Trammell,,,
"on authority, unranked by all sources",Cameron Latu,,,
"on authority, unranked by all sources",Tom Kennedy,,,
"on authority, unranked by all sources",Corey Kiner,,,
"on authority, unranked by all sources",Beaux Collins,,,
"on authority, unranked by all sources",Braxton Berrios,,,
"on authority, unranked by all sources",James Proche II,,,
"on authority, unranked by all sources",Colson Yankoff,,,
"on authority, unranked by all sources",Gage Larvadain,,,
"on authority, unranked by all sources",Jalen Brooks,,,
"on authority, unranked by all sources",Andrew Beck,,,
"on authority, unranked by all sources",Feleipe Franks,,,
"on authority, unranked by all sources",Hunter Luepke,,,
"on authority, unranked by all sources",Andre Baccellia,,,
"on authority, unranked by all sources",Brayden Willis,,,
"on authority, unranked by all sources",Scott Matlock,,,
"on authority, unranked by all sources",Mason Kinsey,,,
"on authority, unranked by all sources",Connor Heyward,,,
"on authority, unranked by all sources",Trent Sherfield,,,
"on authority, unranked by all sources",KhaDarel Hodge,,,
"on authority, unranked by all sources",Deven Thompkins,,,
"on authority, unranked by all sources",Velus Jones Jr.,,,
"on authority, unranked by all sources",Jack Westover,,,
"on authority, unranked by all sources",Dee Eskridge,,,
"on authority, unranked by all sources",Britain Covey,,,
"on authority, unranked by all sources",Dare Ogunbowale,,,
"on authority, unranked by all sources",Laquon Treadwell,,,
"on authority, unranked by all sources",Ke'Shawn Williams,,,
"on authority, unranked by all sources",Kene Nwangwu,,,
"on authority, unranked by all sources",Dareke Young,,,
"on authority, unranked by all sources",Evan Hull,,,
"on authority, unranked by all sources",British Brooks,,,
"on authority, unranked by all sources",Trayveon Williams,,,
"on authority, unranked by all sources",Charlie Jones,,,
"on authority, unranked by all sources",Simi Fehoko,,,
"on authority, unranked by all sources",Nikko Remigio,,,
"on authority, unranked by all sources",Alec Ingold,,,
"on authority, unranked by all sources",Myles Price,,,
"on authority, unranked by all sources",Alex Bachman,,,
"on authority, unranked by all sources",Anthony Gould,,,
"on authority, unranked by all sources",DeAndre Carter,,,
"on authority, unranked by all sources",Ronnie Rivers,,,
"on authority, unranked by all sources",Hassan Haskins,,,
"on authority, unranked by all sources",Brady Russell,,,
"on authority, unranked by all sources",Adam Prentice,,,
"on authority, unranked by all sources",Patrick Ricard,,,
"on authority, unranked by all sources",DeeJay Dallas,,,
"on authority, unranked by all sources",Craig Reynolds,,,
"on authority, unranked by all sources",Hunter Dekkers,,,
"on authority, unranked by all sources",Brett Rypien,,,
"on authority, unranked by all sources",Sam Hartman,,,
"on authority, unranked by all sources",Matthew Caldwell,,,
"on authority, unranked by all sources",Austin Reed,,,
"on authority, unranked by all sources",Adrian Martinez,,,
"on authority, unranked by all sources",Kedon Slovis,,,
"on authority, unranked by all sources",Jeff Driskel,,,
"on authority, unranked by all sources",Jake Retzlaff,,,
"on authority, unranked by all sources",Athan Kaliakmanis,,,
"on authority, unranked by all sources",Kyle Allen,,,
"on authority, unranked by all sources",John Wolford,,,
"on authority, unranked by all sources",Miller Moss,,,
"on authority, unranked by all sources",Carter Bradley,,,
"on authority, unranked by all sources",Mark Gronowski,,,
"on authority, unranked by all sources",Chandler Morris,,,
"on authority, unranked by all sources",Shane Buechele,,,
"on authority, unranked by all sources",Joe Fagnano,,,
"on authority, unranked by all sources",Ken Seals,,,
"on authority, unranked by all sources",Jacob Clark,,,
"on authority, unranked by all sources",Kurtis Rourke,,,
"on authority, unranked by all sources",Case Keenum,,,
"on authority, unranked by all sources",Joey Aguilar,,,
"on authority, unranked by all sources",Haynes King,,,
"on authority, unranked by all sources",DJ Uiagalelei,,,
"on authority, unranked by all sources",Trevor Siemian,,,
"on authority, unranked by all sources",Bailey Zappe,,,
"on authority, unranked by all sources",Will Grier,,,
"on authority, unranked by all sources",Hendon Hooker,,,
"on authority, unranked by all sources",Easton Stick,,,
"on authority, unranked by all sources",Graham Mertz,,,
"on authority, unranked by all sources",Luke Altmyer,,,
"on authority, unranked by all sources",Teddy Bridgewater,,,
"on authority, unranked by all sources",Chris Oladokun,,,
"on authority, unranked by all sources",Sean Clifford,,,
"on authority, unranked by all sources",Brandon Allen,,,
"on authority, unranked by all sources",Kyle Trask,,,
"on authority, unranked by all sources",Diego Pavia,,,
"on authority, unranked by all sources",Behren Morton,,,
"on authority, unranked by all sources",Sawyer Robertson,,,
"on authority, unranked by all sources",E.J. Warner,,,
"on authority, unranked by all sources",Jarrett Stidham,,,
"on authority, unranked by all sources",Skylar Thompson,,,
